condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high,git_commit,git_dirty,run_date
cm3_12w,ct_dyads,control_tower,6,3,network_profit_with_inventory,1030167.6061701457,-7474203.025575623,9534538.237915915,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,satisfaction_index,5.531210041071303e-05,-1.3567730199840928e-05,0.00012419193102126698,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,fill_rate,0.00012436224899030622,-1.3584138628355944e-05,0.0002623086366089684,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,retail_on_time_rate,-1.835964304949256e-05,-6.598774387685903e-05,2.9268457777873915e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,quality_mean,-6.80565584790053e-06,-3.552656835036275e-05,2.1915256654561688e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,costs_tech,5658000.0,5093685.785775458,6222314.214224542,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,costs_stockout,-2395812.355666661,-5053435.074224082,261810.36289075948,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,costs_holding,1141221.7723333517,-13188.880849160952,2295632.425515864,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,scrap_value,652902.7126667022,-59136.50467532792,1364941.9300087322,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_DC,-0.7621312367466476,-0.8792916912614407,-0.6449707822318546,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_MFG,-1.4427951937882066,-1.7157331759373222,-1.169857211639091,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
